"Chap","affirm_percentage","type"
"HSPD1",29.232995658466,"obs"
"TRAP1",12.1508379888268,"obs"
"CLPP",19.2446043165468,"obs"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",20.5499276410999,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",20.5499276410999,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",24.8914616497829,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",24.8914616497829,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",24.8914616497829,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",25.1808972503618,"shuff"
"HSPD1",25.3256150506512,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",25.4703328509407,"shuff"
"HSPD1",20.9840810419682,"shuff"
"HSPD1",25.1808972503618,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",24.8914616497829,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",20.8393632416787,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",25.6150506512301,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",20.260492040521,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",20.260492040521,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",25.3256150506512,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",20.1157742402315,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",25.6150506512301,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",24.8914616497829,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",25.1808972503618,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",20.5499276410999,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",25.1808972503618,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",26.0492040520984,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",19.8263386396527,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",20.9840810419682,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",25.3256150506512,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",25.4703328509407,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",20.8393632416787,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",20.6946454413893,"shuff"
"HSPD1",24.4573082489146,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",24.7467438494935,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",25.1808972503618,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",20.9840810419682,"shuff"
"HSPD1",25.6150506512301,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.0231548480463,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",24.6020260492041,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",21.273516642547,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",21.7076700434153,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",24.1678726483357,"shuff"
"HSPD1",21.5629522431259,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",22.4312590448625,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",21.4182344428365,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",22.1418234442836,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",22.575976845152,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",21.1287988422576,"shuff"
"HSPD1",23.7337192474674,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",22.7206946454414,"shuff"
"HSPD1",23.0101302460203,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",23.2995658465991,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",22.8654124457308,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",23.8784370477569,"shuff"
"HSPD1",21.9971056439942,"shuff"
"HSPD1",23.4442836468886,"shuff"
"HSPD1",23.589001447178,"shuff"
"HSPD1",24.3125904486252,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",23.1548480463097,"shuff"
"HSPD1",22.2865412445731,"shuff"
"HSPD1",21.8523878437048,"shuff"
"HSPD1",24.4573082489146,"shuff"
