"num_removed","cancer","prop_remain","prop_removed","run_name","under_curve","y_txt"
8,"KIRC",0.610010427528676,0.533333333333333,"by_module_12",0.675215328911149,0.04
9,"KIRC",0.587069864442127,0.6,"by_module_12",0.675215328911149,0.04
10,"KIRC",0.524504692387904,0.666666666666667,"by_module_12",0.675215328911149,0.04
11,"KIRC",0.506777893639208,0.733333333333333,"by_module_12",0.675215328911149,0.04
12,"KIRC",0.430656934306569,0.8,"by_module_12",0.675215328911149,0.04
13,"KIRC",0.301355578727841,0.866666666666667,"by_module_12",0.675215328911149,0.04
14,"KIRC",0.0604796663190824,0.933333333333333,"by_module_12",0.675215328911149,0.04
15,"KIRC",0,1,"by_module_12",0.675215328911149,0.04
0,"KIRP",1,0,"by_module_12",0.718392878235803,0.04
1,"KIRP",0.998093422306959,0.0666666666666667,"by_module_12",0.718392878235803,0.04
2,"KIRP",0.990467111534795,0.133333333333333,"by_module_12",0.718392878235803,0.04
3,"KIRP",0.972354623450906,0.2,"by_module_12",0.718392878235803,0.04
4,"KIRP",0.948522402287893,0.266666666666667,"by_module_12",0.718392878235803,0.04
5,"KIRP",0.814108674928503,0.333333333333333,"by_module_12",0.718392878235803,0.04
6,"KIRP",0.740705433746425,0.4,"by_module_12",0.718392878235803,0.04
7,"KIRP",0.629170638703527,0.466666666666667,"by_module_12",0.718392878235803,0.04
8,"KIRP",0.618684461391802,0.533333333333333,"by_module_12",0.718392878235803,0.04
9,"KIRP",0.59675881792183,0.6,"by_module_12",0.718392878235803,0.04
10,"KIRP",0.550047664442326,0.666666666666667,"by_module_12",0.718392878235803,0.04
11,"KIRP",0.491897044804576,0.733333333333333,"by_module_12",0.718392878235803,0.04
12,"KIRP",0.406101048617731,0.8,"by_module_12",0.718392878235803,0.04
13,"KIRP",0.302192564346997,0.866666666666667,"by_module_12",0.718392878235803,0.04
14,"KIRP",0.168732125834128,0.933333333333333,"by_module_12",0.718392878235803,0.04
15,"KIRP",0,1,"by_module_12",0.718392878235803,0.04
0,"LIHC",1,0,"by_module_12",0.685068515909849,0.04
1,"LIHC",0.977886977886978,0.0666666666666667,"by_module_12",0.685068515909849,0.04
2,"LIHC",0.943488943488944,0.133333333333333,"by_module_12",0.685068515909849,0.04
3,"LIHC",0.874692874692875,0.2,"by_module_12",0.685068515909849,0.04
4,"LIHC",0.759213759213759,0.266666666666667,"by_module_12",0.685068515909849,0.04
5,"LIHC",0.714987714987715,0.333333333333333,"by_module_12",0.685068515909849,0.04
6,"LIHC",0.679361179361179,0.4,"by_module_12",0.685068515909849,0.04
7,"LIHC",0.662162162162162,0.466666666666667,"by_module_12",0.685068515909849,0.04
8,"LIHC",0.566339066339066,0.533333333333333,"by_module_12",0.685068515909849,0.04
9,"LIHC",0.503685503685504,0.6,"by_module_12",0.685068515909849,0.04
10,"LIHC",0.445945945945946,0.666666666666667,"by_module_12",0.685068515909849,0.04
11,"LIHC",0.341523341523342,0.733333333333333,"by_module_12",0.685068515909849,0.04
12,"LIHC",0.227272727272727,0.8,"by_module_12",0.685068515909849,0.04
13,"LIHC",0.158476658476658,0.866666666666667,"by_module_12",0.685068515909849,0.04
14,"LIHC",0.0651105651105651,0.933333333333333,"by_module_12",0.685068515909849,0.04
15,"LIHC",0,1,"by_module_12",0.685068515909849,0.04
0,"LUAD",1,0,"by_module_12",0.662115738579721,0.04
1,"LUAD",0.957878315132605,0.0666666666666667,"by_module_12",0.662115738579721,0.04
2,"LUAD",0.918876755070203,0.133333333333333,"by_module_12",0.662115738579721,0.04
3,"LUAD",0.870514820592824,0.2,"by_module_12",0.662115738579721,0.04
4,"LUAD",0.733229329173167,0.266666666666667,"by_module_12",0.662115738579721,0.04
5,"LUAD",0.627145085803432,0.333333333333333,"by_module_12",0.662115738579721,0.04
6,"LUAD",0.563182527301092,0.4,"by_module_12",0.662115738579721,0.04
7,"LUAD",0.517940717628705,0.466666666666667,"by_module_12",0.662115738579721,0.04
8,"LUAD",0.365054602184087,0.533333333333333,"by_module_12",0.662115738579721,0.04
9,"LUAD",0.322932917316693,0.6,"by_module_12",0.662115738579721,0.04
10,"LUAD",0.287051482059282,0.666666666666667,"by_module_12",0.662115738579721,0.04
11,"LUAD",0.201248049921997,0.733333333333333,"by_module_12",0.662115738579721,0.04
12,"LUAD",0.146645865834633,0.8,"by_module_12",0.662115738579721,0.04
13,"LUAD",0.0889235569422777,0.866666666666667,"by_module_12",0.662115738579721,0.04
14,"LUAD",0.0436817472698908,0.933333333333333,"by_module_12",0.662115738579721,0.04
15,"LUAD",0,1,"by_module_12",0.662115738579721,0.04
0,"LUSC",1,0,"by_module_12",0.651641352875068,0.04
1,"LUSC",0.926573426573427,0.0666666666666667,"by_module_12",0.651641352875068,0.04
2,"LUSC",0.828671328671329,0.133333333333333,"by_module_12",0.651641352875068,0.04
3,"LUSC",0.777972027972028,0.2,"by_module_12",0.651641352875068,0.04
4,"LUSC",0.713286713286713,0.266666666666667,"by_module_12",0.651641352875068,0.04
5,"LUSC",0.620629370629371,0.333333333333333,"by_module_12",0.651641352875068,0.04
6,"LUSC",0.578671328671329,0.4,"by_module_12",0.651641352875068,0.04
7,"LUSC",0.519230769230769,0.466666666666667,"by_module_12",0.651641352875068,0.04
8,"LUSC",0.45979020979021,0.533333333333333,"by_module_12",0.651641352875068,0.04
9,"LUSC",0.367132867132867,0.6,"by_module_12",0.651641352875068,0.04
10,"LUSC",0.302447552447552,0.666666666666667,"by_module_12",0.651641352875068,0.04
11,"LUSC",0.211538461538462,0.733333333333333,"by_module_12",0.651641352875068,0.04
12,"LUSC",0.15034965034965,0.8,"by_module_12",0.651641352875068,0.04
13,"LUSC",0.0472027972027972,0.866666666666667,"by_module_12",0.651641352875068,0.04
14,"LUSC",0.013986013986014,0.933333333333333,"by_module_12",0.651641352875068,0.04
15,"LUSC",0,1,"by_module_12",0.651641352875068,0.04
0,"PRAD",1,0,"by_module_12",0.678444661135375,0.04
1,"PRAD",0.983529411764706,0.0666666666666667,"by_module_12",0.678444661135375,0.04
2,"PRAD",0.964705882352941,0.133333333333333,"by_module_12",0.678444661135375,0.04
3,"PRAD",0.914117647058823,0.2,"by_module_12",0.678444661135375,0.04
4,"PRAD",0.871764705882353,0.266666666666667,"by_module_12",0.678444661135375,0.04
5,"PRAD",0.727058823529412,0.333333333333333,"by_module_12",0.678444661135375,0.04
6,"PRAD",0.622352941176471,0.4,"by_module_12",0.678444661135375,0.04
7,"PRAD",0.48,0.466666666666667,"by_module_12",0.678444661135375,0.04
8,"PRAD",0.469411764705882,0.533333333333333,"by_module_12",0.678444661135375,0.04
9,"PRAD",0.425882352941176,0.6,"by_module_12",0.678444661135375,0.04
10,"PRAD",0.424705882352941,0.666666666666667,"by_module_12",0.678444661135375,0.04
11,"PRAD",0.372941176470588,0.733333333333333,"by_module_12",0.678444661135375,0.04
12,"PRAD",0.312941176470588,0.8,"by_module_12",0.678444661135375,0.04
13,"PRAD",0.248235294117647,0.866666666666667,"by_module_12",0.678444661135375,0.04
14,"PRAD",0.185882352941176,0.933333333333333,"by_module_12",0.678444661135375,0.04
15,"PRAD",0,1,"by_module_12",0.678444661135375,0.04
0,"STAD",1,0,"by_module_12",0.70473426117664,0.04
1,"STAD",0.981794538361508,0.0666666666666667,"by_module_12",0.70473426117664,0.04
2,"STAD",0.93888166449935,0.133333333333333,"by_module_12",0.70473426117664,0.04
3,"STAD",0.886866059817945,0.2,"by_module_12",0.70473426117664,0.04
4,"STAD",0.8777633289987,0.266666666666667,"by_module_12",0.70473426117664,0.04
5,"STAD",0.82184655396619,0.333333333333333,"by_module_12",0.70473426117664,0.04
6,"STAD",0.728218465539662,0.4,"by_module_12",0.70473426117664,0.04
7,"STAD",0.70221066319896,0.466666666666667,"by_module_12",0.70473426117664,0.04
8,"STAD",0.630689206762029,0.533333333333333,"by_module_12",0.70473426117664,0.04
9,"STAD",0.577373211963589,0.6,"by_module_12",0.70473426117664,0.04
10,"STAD",0.52665799739922,0.666666666666667,"by_module_12",0.70473426117664,0.04
11,"STAD",0.369310793237971,0.733333333333333,"by_module_12",0.70473426117664,0.04
12,"STAD",0.270481144343303,0.8,"by_module_12",0.70473426117664,0.04
13,"STAD",0.218465539661899,0.866666666666667,"by_module_12",0.70473426117664,0.04
14,"STAD",0.131339401820546,0.933333333333333,"by_module_12",0.70473426117664,0.04
15,"STAD",0,1,"by_module_12",0.70473426117664,0.04
0,"THCA",1,0,"by_module_12",0.703884354030561,0.04
1,"THCA",0.99603567888999,0.0666666666666667,"by_module_12",0.703884354030561,0.04
2,"THCA",0.968285431119921,0.133333333333333,"by_module_12",0.703884354030561,0.04
3,"THCA",0.956392467789891,0.2,"by_module_12",0.703884354030561,0.04
4,"THCA",0.937561942517344,0.266666666666667,"by_module_12",0.703884354030561,0.04
5,"THCA",0.822596630327056,0.333333333333333,"by_module_12",0.703884354030561,0.04
6,"THCA",0.646184340931615,0.4,"by_module_12",0.703884354030561,0.04
7,"THCA",0.556987115956392,0.466666666666667,"by_module_12",0.703884354030561,0.04
8,"THCA",0.53617443012884,0.533333333333333,"by_module_12",0.703884354030561,0.04
9,"THCA",0.482656095143707,0.6,"by_module_12",0.703884354030561,0.04
10,"THCA",0.460852329038652,0.666666666666667,"by_module_12",0.703884354030561,0.04
11,"THCA",0.318136769078295,0.733333333333333,"by_module_12",0.703884354030561,0.04
12,"THCA",0.259663032705649,0.8,"by_module_12",0.703884354030561,0.04
13,"THCA",0.181367690782953,0.866666666666667,"by_module_12",0.703884354030561,0.04
14,"THCA",0.13181367690783,0.933333333333333,"by_module_12",0.703884354030561,0.04
15,"THCA",0,1,"by_module_12",0.703884354030561,0.04
0,"UCEC",1,0,"by_module_12",0.690206032796117,0.04
1,"UCEC",0.971428571428571,0.0666666666666667,"by_module_12",0.690206032796117,0.04
2,"UCEC",0.924223602484472,0.133333333333333,"by_module_12",0.690206032796117,0.04
3,"UCEC",0.898136645962733,0.2,"by_module_12",0.690206032796117,0.04
4,"UCEC",0.808695652173913,0.266666666666667,"by_module_12",0.690206032796117,0.04
5,"UCEC",0.783850931677019,0.333333333333333,"by_module_12",0.690206032796117,0.04
6,"UCEC",0.716770186335404,0.4,"by_module_12",0.690206032796117,0.04
7,"UCEC",0.659627329192547,0.466666666666667,"by_module_12",0.690206032796117,0.04
8,"UCEC",0.64472049689441,0.533333333333333,"by_module_12",0.690206032796117,0.04
9,"UCEC",0.612422360248447,0.6,"by_module_12",0.690206032796117,0.04
10,"UCEC",0.581366459627329,0.666666666666667,"by_module_12",0.690206032796117,0.04
11,"UCEC",0.559006211180124,0.733333333333333,"by_module_12",0.690206032796117,0.04
12,"UCEC",0.513043478260869,0.8,"by_module_12",0.690206032796117,0.04
13,"UCEC",0.247204968944099,0.866666666666667,"by_module_12",0.690206032796117,0.04
14,"UCEC",0.166459627329193,0.933333333333333,"by_module_12",0.690206032796117,0.04
15,"UCEC",0,1,"by_module_12",0.690206032796117,0.04
0,"BRCA",1,0,"high_to_low",0.649858299715235,0.28
1,"BRCA",0.959459459459459,0.0666666666666667,"high_to_low",0.649858299715235,0.28
2,"BRCA",0.927364864864865,0.133333333333333,"high_to_low",0.649858299715235,0.28
3,"BRCA",0.820945945945946,0.2,"high_to_low",0.649858299715235,0.28
4,"BRCA",0.694256756756757,0.266666666666667,"high_to_low",0.649858299715235,0.28
5,"BRCA",0.601351351351351,0.333333333333333,"high_to_low",0.649858299715235,0.28
6,"BRCA",0.461148648648649,0.4,"high_to_low",0.649858299715235,0.28
7,"BRCA",0.430743243243243,0.466666666666667,"high_to_low",0.649858299715235,0.28
8,"BRCA",0.405405405405405,0.533333333333333,"high_to_low",0.649858299715235,0.28
9,"BRCA",0.347972972972973,0.6,"high_to_low",0.649858299715235,0.28
10,"BRCA",0.3125,0.666666666666667,"high_to_low",0.649858299715235,0.28
11,"BRCA",0.260135135135135,0.733333333333333,"high_to_low",0.649858299715235,0.28
12,"BRCA",0.195945945945946,0.8,"high_to_low",0.649858299715235,0.28
13,"BRCA",0.126689189189189,0.866666666666667,"high_to_low",0.649858299715235,0.28
14,"BRCA",0.0591216216216216,0.933333333333333,"high_to_low",0.649858299715235,0.28
15,"BRCA",0,1,"high_to_low",0.649858299715235,0.28
0,"COAD",1,0,"high_to_low",0.715146652911652,0.28
1,"COAD",0.95800227014756,0.0666666666666667,"high_to_low",0.715146652911652,0.28
2,"COAD",0.951191827468786,0.133333333333333,"high_to_low",0.715146652911652,0.28
3,"COAD",0.938706015891033,0.2,"high_to_low",0.715146652911652,0.28
4,"COAD",0.866061293984109,0.266666666666667,"high_to_low",0.715146652911652,0.28
5,"COAD",0.855845629965948,0.333333333333333,"high_to_low",0.715146652911652,0.28
6,"COAD",0.769580022701476,0.4,"high_to_low",0.715146652911652,0.28
7,"COAD",0.729852440408627,0.466666666666667,"high_to_low",0.715146652911652,0.28
8,"COAD",0.648127128263337,0.533333333333333,"high_to_low",0.715146652911652,0.28
9,"COAD",0.558456299659478,0.6,"high_to_low",0.715146652911652,0.28
10,"COAD",0.507377979568672,0.666666666666667,"high_to_low",0.715146652911652,0.28
11,"COAD",0.402951191827469,0.733333333333333,"high_to_low",0.715146652911652,0.28
12,"COAD",0.276958002270148,0.8,"high_to_low",0.715146652911652,0.28
13,"COAD",0.169125993189557,0.866666666666667,"high_to_low",0.715146652911652,0.28
14,"COAD",0.0737797956867197,0.933333333333333,"high_to_low",0.715146652911652,0.28
15,"COAD",0,1,"high_to_low",0.715146652911652,0.28
0,"HNSC",1,0,"high_to_low",0.69589357987169,0.28
1,"HNSC",0.96309963099631,0.0666666666666667,"high_to_low",0.69589357987169,0.28
2,"HNSC",0.95079950799508,0.133333333333333,"high_to_low",0.69589357987169,0.28
3,"HNSC",0.923739237392374,0.2,"high_to_low",0.69589357987169,0.28
4,"HNSC",0.832718327183272,0.266666666666667,"high_to_low",0.69589357987169,0.28
5,"HNSC",0.750307503075031,0.333333333333333,"high_to_low",0.69589357987169,0.28
6,"HNSC",0.710947109471095,0.4,"high_to_low",0.69589357987169,0.28
7,"HNSC",0.574415744157442,0.466666666666667,"high_to_low",0.69589357987169,0.28
8,"HNSC",0.542435424354244,0.533333333333333,"high_to_low",0.69589357987169,0.28
9,"HNSC",0.482164821648217,0.6,"high_to_low",0.69589357987169,0.28
10,"HNSC",0.286592865928659,0.666666666666667,"high_to_low",0.69589357987169,0.28
11,"HNSC",0.228782287822878,0.733333333333333,"high_to_low",0.69589357987169,0.28
12,"HNSC",0.107011070110701,0.8,"high_to_low",0.69589357987169,0.28
13,"HNSC",0.02460024600246,0.866666666666667,"high_to_low",0.69589357987169,0.28
14,"HNSC",0.011070110701107,0.933333333333333,"high_to_low",0.69589357987169,0.28
15,"HNSC",0,1,"high_to_low",0.69589357987169,0.28
0,"KIRC",1,0,"high_to_low",0.739371432400143,0.28
1,"KIRC",0.994786235662148,0.0666666666666667,"high_to_low",0.739371432400143,0.28
2,"KIRC",0.976016684045881,0.133333333333333,"high_to_low",0.739371432400143,0.28
3,"KIRC",0.964546402502607,0.2,"high_to_low",0.739371432400143,0.28
4,"KIRC",0.928050052137643,0.266666666666667,"high_to_low",0.739371432400143,0.28
5,"KIRC",0.91762252346194,0.333333333333333,"high_to_low",0.739371432400143,0.28
6,"KIRC",0.885297184567258,0.4,"high_to_low",0.739371432400143,0.28
7,"KIRC",0.766423357664234,0.466666666666667,"high_to_low",0.739371432400143,0.28
8,"KIRC",0.608967674661105,0.533333333333333,"high_to_low",0.739371432400143,0.28
9,"KIRC",0.544316996871741,0.6,"high_to_low",0.739371432400143,0.28
10,"KIRC",0.40563086548488,0.666666666666667,"high_to_low",0.739371432400143,0.28
11,"KIRC",0.304483837330553,0.733333333333333,"high_to_low",0.739371432400143,0.28
12,"KIRC",0.200208550573514,0.8,"high_to_low",0.739371432400143,0.28
13,"KIRC",0.117831074035454,0.866666666666667,"high_to_low",0.739371432400143,0.28
14,"KIRC",0.059436913451512,0.933333333333333,"high_to_low",0.739371432400143,0.28
15,"KIRC",0,1,"high_to_low",0.739371432400143,0.28
0,"KIRP",1,0,"high_to_low",0.825671442708449,0.28
1,"KIRP",0.997140133460439,0.0666666666666667,"high_to_low",0.825671442708449,0.28
2,"KIRP",0.994280266920877,0.133333333333333,"high_to_low",0.825671442708449,0.28
3,"KIRP",0.992373689227836,0.2,"high_to_low",0.825671442708449,0.28
4,"KIRP",0.990467111534795,0.266666666666667,"high_to_low",0.825671442708449,0.28
5,"KIRP",0.983794089609152,0.333333333333333,"high_to_low",0.825671442708449,0.28
6,"KIRP",0.973307912297426,0.4,"high_to_low",0.825671442708449,0.28
7,"KIRP",0.958055290753098,0.466666666666667,"high_to_low",0.825671442708449,0.28
8,"KIRP",0.949475691134414,0.533333333333333,"high_to_low",0.825671442708449,0.28
9,"KIRP",0.851286939942803,0.6,"high_to_low",0.825671442708449,0.28
10,"KIRP",0.80743565300286,0.666666666666667,"high_to_low",0.825671442708449,0.28
11,"KIRP",0.667302192564347,0.733333333333333,"high_to_low",0.825671442708449,0.28
12,"KIRP",0.568160152526215,0.8,"high_to_low",0.825671442708449,0.28
13,"KIRP",0.36510962821735,0.866666666666667,"high_to_low",0.825671442708449,0.28
14,"KIRP",0.168732125834128,0.933333333333333,"high_to_low",0.825671442708449,0.28
15,"KIRP",0,1,"high_to_low",0.825671442708449,0.28
0,"LIHC",1,0,"high_to_low",0.68351001011436,0.28
1,"LIHC",0.966830466830467,0.0666666666666667,"high_to_low",0.68351001011436,0.28
2,"LIHC",0.917690417690418,0.133333333333333,"high_to_low",0.68351001011436,0.28
3,"LIHC",0.858722358722359,0.2,"high_to_low",0.68351001011436,0.28
4,"LIHC",0.80958230958231,0.266666666666667,"high_to_low",0.68351001011436,0.28
5,"LIHC",0.754299754299754,0.333333333333333,"high_to_low",0.68351001011436,0.28
6,"LIHC",0.683046683046683,0.4,"high_to_low",0.68351001011436,0.28
7,"LIHC",0.58968058968059,0.466666666666667,"high_to_low",0.68351001011436,0.28
8,"LIHC",0.486486486486487,0.533333333333333,"high_to_low",0.68351001011436,0.28
9,"LIHC",0.425061425061425,0.6,"high_to_low",0.68351001011436,0.28
10,"LIHC",0.291154791154791,0.666666666666667,"high_to_low",0.68351001011436,0.28
11,"LIHC",0.202702702702703,0.733333333333333,"high_to_low",0.68351001011436,0.28
12,"LIHC",0.136363636363636,0.8,"high_to_low",0.68351001011436,0.28
13,"LIHC",0.0749385749385749,0.866666666666667,"high_to_low",0.68351001011436,0.28
14,"LIHC",0.0282555282555282,0.933333333333333,"high_to_low",0.68351001011436,0.28
15,"LIHC",0,1,"high_to_low",0.68351001011436,0.28
0,"LUAD",1,0,"high_to_low",0.656748640885474,0.28
1,"LUAD",0.957878315132605,0.0666666666666667,"high_to_low",0.656748640885474,0.28
2,"LUAD",0.890795631825273,0.133333333333333,"high_to_low",0.656748640885474,0.28
3,"LUAD",0.850234009360374,0.2,"high_to_low",0.656748640885474,0.28
4,"LUAD",0.770670826833073,0.266666666666667,"high_to_low",0.656748640885474,0.28
5,"LUAD",0.606864274570983,0.333333333333333,"high_to_low",0.656748640885474,0.28
6,"LUAD",0.497659906396256,0.4,"high_to_low",0.656748640885474,0.28
7,"LUAD",0.458658346333853,0.466666666666667,"high_to_low",0.656748640885474,0.28
8,"LUAD",0.383775351014041,0.533333333333333,"high_to_low",0.656748640885474,0.28
9,"LUAD",0.34789391575663,0.6,"high_to_low",0.656748640885474,0.28
10,"LUAD",0.263650546021841,0.666666666666667,"high_to_low",0.656748640885474,0.28
11,"LUAD",0.210608424336973,0.733333333333333,"high_to_low",0.656748640885474,0.28
12,"LUAD",0.146645865834633,0.8,"high_to_low",0.656748640885474,0.28
13,"LUAD",0.0889235569422777,0.866666666666667,"high_to_low",0.656748640885474,0.28
14,"LUAD",0.0436817472698908,0.933333333333333,"high_to_low",0.656748640885474,0.28
15,"LUAD",0,1,"high_to_low",0.656748640885474,0.28
0,"LUSC",1,0,"high_to_low",0.654697856617986,0.28
1,"LUSC",0.926573426573427,0.0666666666666667,"high_to_low",0.654697856617986,0.28
2,"LUSC",0.828671328671329,0.133333333333333,"high_to_low",0.654697856617986,0.28
